question,answer,category
Boom - Bome,Sethlare - Dithlare,Nature
Stoel - Stoele,Setolo - Ditolo,Furniture
Rustig,Sisibala,"Verb,Feeling"
Suster,Sista,People
Sondag,Sontaga,Time
Sewe,Supa,Counting
Leeu,Tau - Ditau,Animals
Verstaan,Thaloga,Abstract
Drie,Tharo,Counting
Ses,Thataro,Counting
Mes is skerp,Thipa e bogale,Household
Mes is stomp,Thipae e boboi,"Adjective, Household"
Kou,Tlafuna,Verb
Vyf,Tlano,Counting
Steek,Tlhaba,"Human Action,Verb"
Vis,Tlhapi - Ditlhapi,Animals
Olifant,Tlou - Ditlou,Animals
Donkie,Tonki - Ditonki,Animals
Loop,Tsamae / Sepela(ek en jy),Verb
Speel,Tsameka,Verb
Oor - Ore,Tsebe - Ditsebe,Human Body
Oor,Tsebe - Ditsebe,Human Body
Springbok,Tsepe - Ditsepe,Animals
Swem,Tshapa,"Movement,verb,Leisure"
Springhaas,Tshipo - Ditshipo,Animals
Mier,Tshotswane - Ditshotswane,Animals
Bobejaan,Tshwene - Ditshwene,Animals
Kul / Verneuk,Tsietsa,"Verb,Abstract"
Vat,Tswara,Verb
Jy,Wena,People
