Harloop,Mata,"Movement,Verb"
Gras - Grasse,Bojang - Majang,Nature
Dreun,Duma,Nature
Vrug,Kungwa / Maungwa,Nature
Aarde,Lefatse,Nature
Hout - Houte,Lekgong - Dikgong,Nature
Son,Letstatsi,Nature
Wolke,Maru,Nature
Skadu,Moruti,Nature
Ster,Naledi,Nature
Reen,Pula,Nature
Plantjie,Semela,Nature
Boom - Bome,Sethlare - Dithlare,Nature
Hael,Sefako,Nature
Donker,Lefifi,"Nature, Adjective"
Dag,Letsatsi,"Nature,Time"
Hulle,Bone,People
Broer,Brotha,People
Albei,Ka Bobedi,People
Witmens - Witmense,Lekgoa - Makgoa,People
Dief - Diewe,Leshodu - Mashodu,People
Ma,Mme,People
Predikant,Mo ruti,People
Sanger,Mokopedi,People
Man - Mans,Monna - Banna,People
Vrou - Vrouens,Mosadi - Basadi,People
Dogter - Dogters,Mosetsane - Basetsane,People
Seun - Seuns,Mosimane - Basimane,People
Mens - Mense,Motho - Batho,People
Julle,Njena,People
Ek,Nna,People
Pa,Ntati,People
Ons,Rona,People
Suster,Sista,People
Jy,Wena,People
Mens,Montle,People
Agter,Morago,Positions
Voor,Kopele,Positions
Sien,Bona,Senses
Het Gesien,Bone,Senses
Praat,Boa,Senses
Skree,Goa,Senses
Hoor,Hutla,Senses
Ruik,Nkga,"Senses,Verb"
Aand,Bosigo,Time
Hoe laat is dit?,Ke nako mang?,Time
Dinsdag,La bobedi,Time
Donderdag,La bone,Time
Woensdag,La boraro,Time
Vrydag,La bothlano,Time
Saterdag,Labarataro,Time
Lig,Lesedi,Time
Maandag,MMantaga,Time
Oggend,Mosigare,Time
Tyd,Nako,Time
Sondag,Sontaga,Time
Manier - Maniere,Mokgwa - Mekgwa,Unknown
Fout - Foute,Molato - Melato,Unknown
Graf,Lebitlo,Unknown
Grap,Joko,Unknown
Doof,Shushu,Unknown
Stom,Semumu,Unknown
Lyk (Dooi mens),Setopa,Unknown
Lyk Eenders,Le a tswana,Unknown
Steek,Tlhaba,Verb
Vlief,Fofa,Verb
Om te eet,go jja,Verb
Om te koop,Go Reka,Verb
Het Gehoor,Hutlile,Verb
Ek Wil,Ke batla,Verb
Ek Sal,Ke Tla,Verb
Aanmeld,Klagisa,Verb
Aanrand,Kobeka,Verb
Agter na sit/ haal jou in,Latela,Verb
Byt,Loma,Verb
Loop Saam,Sepela,Verb
Kou,Tlafuna,Verb
Speel,Tsameka,Verb
Vat,Tswara,Verb
Doen,Hetsa,Verb
Oop,Bula,Verb
Toe,Otswala,Verb
Kul / Verneuk,Tsietsa,Verb
Om te leef,go pela,"Verb, Abstract"
Vol Wees,Kgora,"Verb, Abstract"
Genoeg geeet,Kgorile,"Verb, Adjective"
Om lief te he,Go Rata,"Verb, Emotions"
Om lief gehe te word,Go Ratwa,"Verb, Emotions"
Hardloop Vinning,Mata tata,"Verb, Movement"
Stuur,Ruma,"Verb,Abstract"
Om te bou,go aga,"Verb,Business"
Loop,Tsamae / Sepela(ek en jy),"Verb,Movement"
Sit,Dula,"Verb,Movement"
